Time [s],MideaIR
609.784603000,0
609.785087750,1
609.786753000,0
609.787237750,1
609.787827750,0
609.788312500,1
609.788902500,0
609.789387500,1
609.789977250,0
609.790485500,1
609.791052000,0
609.791560500,1
609.792127000,0
609.792635500,1
609.793201750,0
609.793710750,1
609.795351750,0
609.795860500,1
609.797501500,0
609.798010250,1
609.798576250,0
609.799085500,1
609.799651250,0
609.800160250,1
609.801801250,0
609.802310500,1
609.803951500,0
609.804460250,1
609.805026250,0
609.805535250,1
609.806101250,0
609.806610250,1
609.807176250,0
609.807685250,1
609.808251000,0
609.808760000,1
609.810401000,0
609.810910000,1
609.812551250,0
609.813059750,1
609.813626000,0
609.814135000,1
609.814701250,0
609.815209750,1
609.816851500,0
609.817359750,1
609.819001500,0
609.819510000,1
609.824743500,0
609.829108750,1
609.833527500,0
609.834034250,1
609.835677250,0
609.836184250,1
609.837827000,0
609.838334000,1
609.838901750,0
609.839409000,1
609.841052250,0
609.841559000,1
609.842127250,0
609.842634250,1
609.844277000,0
609.844783750,1
609.845351750,0
609.845859000,1
609.847502000,0
609.848008500,1
609.848577000,0
609.849083750,1
609.850726750,0
609.851233500,1
609.852876750,0
609.853383500,1
609.853951750,0
609.854458750,1
609.855026750,0
609.855533500,1
609.857176500,0
609.857683250,1
609.859326500,0
609.859833250,1
609.860401250,0
609.860908250,1
609.861476250,0
609.861983000,1
609.862551250,0
609.863058250,1
609.864701250,0
609.865208000,1
609.865776250,0
609.866283250,1
609.866851500,0
609.867358250,1
609.867926250,0
609.868432750,1
609.869001000,0
609.869507750,1
609.870076250,0
609.870582750,1
609.871151000,0
609.871657750,1
609.872226000,0
609.872732750,1
609.873301250,0
609.873807750,1
609.874376250,0
609.874882500,1
609.875451250,0
609.875957500,1
609.876526000,0
609.877032750,1
609.877601250,0
609.878107750,1
609.879751500,0
609.880257500,1
609.880826000,0
609.881332500,1
609.881901000,0
609.882407500,1
609.882976000,0
609.883482500,1
609.884051250,0
609.884557500,1
609.885126000,0
609.885632250,1
609.886201000,0
609.886707250,1
609.887275750,0
609.887782250,1
609.888351000,0
609.888857500,1
609.889426000,0
609.889932250,1
609.891576250,0
609.892082000,1
609.892650750,0
609.893157000,1
609.894801250,0
609.895307000,1
609.896951250,0
609.897457000,1
609.899101250,0
609.899607000,1
609.900175750,0
609.900682250,1
609.901251250,0
609.901757250,1
619.190585500,0
619.195029000,1
619.199366250,0
619.199955500,1
619.201516250,0
619.202105000,1
619.202590500,0
619.203180250,1
619.204741500,0
619.205330000,1
619.206890250,0
619.207480250,1
619.207966500,0
619.208554500,1
619.209040000,0
619.209630000,1
619.211191000,0
619.211779750,1
619.212265250,0
619.212854500,1
619.213339500,0
619.213930000,1
619.215490500,0
619.216079750,1
619.216566250,0
619.217153750,1
619.217640000,0
619.218229250,1
619.219790750,0
619.220379500,1
619.221939500,0
619.222528750,1
619.223014000,0
619.223604000,1
619.225164750,0
619.225754000,1
619.227288000,0
619.227904000,1
