Time [s],Channel 6,Channel 7
14.988598500,0,1
14.988600250,1,1
14.988619250,1,0
14.988620750,0,0
14.988640000,0,1
14.988641750,1,1
14.988660750,1,0
14.988662250,0,0
14.988681750,0,1
14.988683500,1,1
14.988702500,1,0
14.988704000,0,0
14.988723250,0,1
14.988725000,1,1
14.988744000,1,0
14.988745500,0,0
14.988765000,0,1
14.988766750,1,1
14.988785750,1,0
14.988787250,0,0
14.988806500,0,1
14.988808250,1,1
14.988827250,1,0
14.988828750,0,0
14.988848250,0,1
14.988850000,1,1
14.988869000,1,0
14.988870500,0,0
14.988889750,0,1
14.988891500,1,1
14.988910750,1,0
14.988912000,0,0
14.988931500,0,1
14.988933250,1,1
14.988952250,1,0
14.988953750,0,0
14.988973000,0,1
14.988974750,1,1
14.988994000,1,0
14.988995250,0,0
14.989014750,0,1
14.989016500,1,1
14.989035500,1,0
14.989037000,0,0
14.989056250,0,1
14.989058000,1,1
14.989077250,1,0
14.989078500,0,0
14.989098000,0,1
14.989099750,1,1
14.989118750,1,0
14.989120250,0,0
14.989139500,0,1
14.989141250,1,1
14.989160500,1,0
14.989161750,0,0
14.989181250,0,1
14.989183000,1,1
14.989202000,1,0
14.989203500,0,0
14.989222750,0,1
14.989224500,1,1
14.989285250,1,0
14.989286750,0,0
14.989306000,0,1
14.989307750,1,1
14.989368500,1,0
14.989370000,0,0
14.989389250,0,1
14.989391000,1,1
14.989410250,1,0
14.989411500,0,0
14.989431000,0,1
14.989432750,1,1
14.989451750,1,0
14.989453250,0,0
14.989472500,0,1
14.989474250,1,1
14.989493500,1,0
14.989494750,0,0
14.989514250,0,1
14.989516000,1,1
14.989535000,1,0
14.989536500,0,0
14.989555750,0,1
14.989557500,1,1
14.989576750,1,0
14.989578000,0,0
14.989597500,0,1
14.989599250,1,1
14.989618250,1,0
14.989619750,0,0
14.989639000,0,1
14.989640750,1,1
14.989660000,1,0
14.989661250,0,0
14.989680750,0,1
14.989682500,1,1
14.989701500,1,0
14.989703000,0,0
14.989722250,0,1
14.989724000,1,1
14.989743250,1,0
14.989744500,0,0
14.989764000,0,1
14.989765750,1,1
14.989784750,1,0
14.989786250,0,0
14.989805500,0,1
14.989807250,1,1
14.989826500,1,0
14.989827750,0,0
14.989847250,0,1
14.989849000,1,1
14.989868000,1,0
14.989869500,0,0
14.989888750,0,1
14.989890500,1,1
14.989909750,1,0
14.989911000,0,0
14.989930500,0,1
14.989932250,1,1
14.989951250,1,0
14.989952750,0,0
14.989972000,0,1
14.989973750,1,1
14.989993000,1,0
14.989994250,0,0
14.990013750,0,1
14.990015500,1,1
14.990034500,1,0
14.990036000,0,0
14.990055250,0,1
14.990057000,1,1
14.990076250,1,0
14.990077500,0,0
14.990097000,0,1
14.990098750,1,1
14.990159500,1,0
14.990161000,0,0
14.990180250,0,1
14.990182000,1,1
14.990201000,1,0
14.990202500,0,0
14.990222000,0,1
14.990223750,1,1
14.990242750,1,0
14.990244250,0,0
14.990263500,0,1
14.990265250,1,1
14.990367500,1,0
14.990369250,0,0
14.990388500,0,1
14.990390000,1,1
14.990409250,1,0
14.990410500,0,0
14.990430000,0,1
14.990431750,1,1
14.990450750,1,0
14.990452250,0,0
14.990471750,0,1
14.990473250,1,1
14.990492500,1,0
14.990493750,0,0
14.990513250,0,1
14.990515000,1,1
14.990534000,1,0
14.990535500,0,0
14.990555000,0,1
14.990556500,1,1
14.990575750,1,0
14.990577000,0,0
14.990596500,0,1
14.990598250,1,1
14.990617250,1,0
14.990618750,0,0
14.990638250,0,1
14.990640000,1,1
14.990659000,1,0
14.990660500,0,0
14.990679750,0,1
14.990681500,1,1
14.990700500,1,0
14.990702000,0,0
14.990721500,0,1
14.990723250,1,1
14.990742250,1,0
14.990743750,0,0
14.990763000,0,1
14.990764750,1,1
14.990783750,1,0
14.990785250,0,0
14.990804750,0,1
14.990806500,1,1
14.990825500,1,0
14.990827000,0,0
14.990846250,0,1
14.990848000,1,1
14.990867250,1,0
14.990868500,0,0
14.990888000,0,1
14.990889750,1,1
14.990908750,1,0
14.990910250,0,0
14.990929500,0,1
14.990931250,1,1
14.991075250,1,0
14.991076750,0,0
14.991096000,0,1
14.991097750,1,1
14.991117000,1,0
14.991118250,0,0
14.991137750,0,1
14.991139500,1,1
14.991158500,1,0
14.991160000,0,0
14.991179250,0,1
14.991181000,1,1
14.991200250,1,0
14.991201500,0,0
14.991221000,0,1
14.991222750,1,1
14.991241750,1,0
14.991243250,0,0
14.991262500,0,1
14.991264250,1,1
14.991283500,1,0
14.991284750,0,0
14.991304250,0,1
14.991306000,1,1
14.991325000,1,0
14.991326500,0,0
14.991346000,0,1
14.991347500,1,1
14.991366750,1,0
14.991368000,0,0
14.991387500,0,1
14.991389250,1,1
14.991408250,1,0
14.991409750,0,0
14.991429250,0,1
14.991430750,1,1
14.991450000,1,0
14.991451250,0,0
14.991470750,0,1
14.991472500,1,1
14.991491500,1,0
14.991493000,0,0
14.991512500,0,1
14.991514000,1,1
14.991533250,1,0
14.991534500,0,0
14.991554000,0,1
14.991555750,1,1
14.991574750,1,0
14.991576250,0,0
14.991595750,0,1
14.991597250,1,1
14.991616500,1,0
14.991618000,0,0
14.991637250,0,1
14.991639000,1,1
14.991658000,1,0
14.991659500,0,0
14.991679000,0,1
14.991680750,1,1
14.991699750,1,0
14.991701250,0,0
14.991720500,0,1
14.991722250,1,1
14.991741250,1,0
14.991742750,0,0
14.991762250,0,1
14.991764000,1,1
14.991783000,1,0
14.991784500,0,0
14.991803750,0,1
14.991805500,1,1
14.991824500,1,0
14.991826000,0,0
14.991845500,0,1
14.991847250,1,1
14.991866250,1,0
14.991867750,0,0
14.991887000,0,1
14.991888750,1,1
14.991907750,1,0
14.991909250,0,0
14.991928750,0,1
14.991930500,1,1
14.991949500,1,0
14.991951000,0,0
14.991970250,0,1
14.991972000,1,1
14.991991250,1,0
14.991992500,0,0
14.992012000,0,1
14.992013750,1,1
14.992032750,1,0
14.992034250,0,0
14.992053500,0,1
14.992055250,1,1
14.992074500,1,0
14.992075750,0,0
14.992095250,0,1
14.992097000,1,1
14.992116000,1,0
14.992117500,0,0
14.992136750,0,1
14.992138500,1,1
14.992157750,1,0
14.992159000,0,0
14.992178500,0,1
14.992180250,1,1
14.992199250,1,0
14.992200750,0,0
14.992220000,0,1
14.992221750,1,1
14.992241000,1,0
14.992242250,0,0
14.992261750,0,1
14.992263500,1,1
14.992282500,1,0
14.992284000,0,0
14.992303250,0,1
14.992305000,1,1
14.992324250,1,0
14.992325500,0,0
14.992345000,0,1
14.992346750,1,1
14.992365750,1,0
14.992367250,0,0
14.992386500,0,1
14.992388250,1,1
14.992407500,1,0
14.992408750,0,0
14.992428250,0,1
14.992430000,1,1
14.992449000,1,0
14.992450500,0,0
14.992470000,0,1
14.992471500,1,1
14.992490750,1,0
14.992492000,0,0
14.992511500,0,1
14.992513250,1,1
14.992532250,1,0
14.992533750,0,0
14.992553250,0,1
14.992554750,1,1
14.992574000,1,0
14.992575250,0,0
14.992594750,0,1
14.992596500,1,1
14.992615500,1,0
14.992617000,0,0
14.992636500,0,1
14.992638000,1,1
14.992657250,1,0
14.992658500,0,0
14.992678000,0,1
14.992679750,1,1
14.992698750,1,0
14.992700250,0,0
14.992719750,0,1
14.992721250,1,1
14.992740500,1,0
14.992741750,0,0
14.992761250,0,1
14.992763000,1,1
14.992782000,1,0
14.992783500,0,0
14.992803000,0,1
14.992804500,1,1
14.992823750,1,0
14.992825000,0,0
14.992844500,0,1
14.992846250,1,1
14.992865250,1,0
14.992866750,0,0
14.992886250,0,1
14.992887750,1,1
14.992907000,1,0
14.992908250,0,0
14.992927750,0,1
14.992929500,1,1
14.992948500,1,0
14.992950000,0,0
14.992969500,0,1
14.992971000,1,1
14.992990250,1,0
14.992991500,0,0
14.993011000,0,1
14.993012750,1,1
14.993031750,1,0
14.993033250,0,0
14.993052750,0,1
14.993054250,1,1
14.993073500,1,0
14.993075000,0,0
14.993094250,0,1
14.993096000,1,1
14.993115000,1,0
14.993116500,0,0
14.993136000,0,1
14.993137500,1,1
14.993156750,1,0
14.993158250,0,0
14.993177500,0,1
14.993179250,1,1
14.993198500,1,0
14.993199750,0,0
14.993219250,0,1
