channel,start_time,packet_len,packet_content,start_byte,valid_start
master,17.1070665,15,AA C4 00 00 00 00 A5 5A 00 00 00 00 00 3B 02,0xAA,True
slave,17.1271445,31,AA C4 00 00 00 00 05 00 02 30 0E 00 00 00 00 00 84 80 56 BC D6 32 98 00 00 00 00 00 00 00 41,0xAA,True
bidirectionalExtensionBoard,17.2424855,44,55 BC 28 AC 00 00 00 00 00 03 02 C0 01 86 66 7F 7F 00 00 80 00 00 60 3C 0A 00 40 00 00 00 00 00 00 00 01 00 00 00 00 00 00 15 00 EF,0x55,True
master,17.40736425,15,AA C0 00 00 00 00 00 00 00 00 00 00 00 3F 01,0xAA,True
slave,17.42739775,31,AA C0 00 00 00 00 10 30 84 80 56 56 82 00 2F 00 FF 00 00 20 00 00 00 00 00 00 00 FF 00 00 81,0xAA,True
bidirectionalExtensionBoard,17.48992125,38,AA BC 22 AC 00 00 00 00 00 03 02 93 80 80 84 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 10 7F 4A 00 D7,0xAA,True
bidirectionalExtensionBoard,17.68855725,44,55 BC 28 AC 00 00 00 00 00 03 02 93 00 00 84 00 00 00 00 00 10 30 05 00 02 30 0E 00 BC D6 96 00 00 00 00 80 80 80 80 00 00 63 00 EF,0x55,True
master,17.707318,31,AA D0 20 01 00 84 80 56 00 00 00 00 00 00 00 06 17 00 61 29 00 00 00 00 00 00 00 00 00 05 09,0xAA,True
bidirectionalExtensionBoard,17.93953775,38,AA BC 22 AC 00 00 00 00 00 03 03 41 81 00 FF 01 60 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 11 51 3D 00 05,0xAA,True
master,18.007428,15,AA C0 09 00 00 00 00 00 00 00 00 00 00 3F F8,0xAA,True
master,18.30750675,31,AA D0 20 01 00 84 80 56 00 00 00 00 00 00 00 06 17 00 61 29 00 00 00 00 00 00 00 00 00 05 09,0xAA,True
master,18.60732525,15,AA C0 00 00 00 00 00 00 00 00 00 00 00 3F 01,0xAA,True
slave,18.62727825,31,AA C0 00 00 00 00 10 30 84 80 56 56 82 00 2F 00 FF 00 00 20 00 00 00 00 00 00 00 FF 00 00 81,0xAA,True
master,18.90764375,15,AA C4 00 00 00 00 A5 5A 00 00 00 00 00 3B 02,0xAA,True
